v,v,v
-0.139652294,4.508108156,5.353266113
-0.139652312,4.508108744,5.353265618
-0.139652330,4.508109331,5.353265121
-0.139652348,4.508109923,5.353264624
-0.139652367,4.508110512,5.353264129
-0.139652385,4.508111101,5.353263632
-0.139652403,4.508111689,5.353263136
-0.139652421,4.508112278,5.353262639
-0.139652440,4.508112866,5.353262144
-0.139652458,4.508113454,5.353261647
-0.139652476,4.508114043,5.353261151
-0.139652494,4.508114631,5.353260654
-0.139652512,4.508115221,5.353260158
-0.139652531,4.508115810,5.353259663
-0.139652549,4.508116399,5.353259166
-0.139652567,4.508116986,5.353258669
-0.139652586,4.508117577,5.353258174
-0.139652604,4.508118165,5.353257678
-0.139652622,4.508118753,5.353257181
-0.139652640,4.508119341,5.353256685
-0.139652658,4.508119931,5.353256189
-0.139652677,4.508120519,5.353255693
-0.139652695,4.508121109,5.353255197
-0.139652713,4.508121697,5.353254700
-0.139652731,4.508122285,5.353254204
-0.139652750,4.508122874,5.353253706
-0.139652768,4.508123464,5.353253212
-0.139652786,4.508124051,5.353252716
-0.139652804,4.508124641,5.353252220
-0.139652823,4.508125230,5.353251723
-0.139652841,4.508125818,5.353251226
-0.139652859,4.508126408,5.353250730
-0.139652877,4.508126995,5.353250234
-0.139652895,4.508127584,5.353249737
-0.139652914,4.508128172,5.353249241
-0.139652932,4.508128760,5.353248745
-0.139652950,4.508129351,5.353248248
-0.139652968,4.508129939,5.353247752
-0.139652987,4.508130528,5.353247256
-0.139653005,4.508131117,5.353246760
-0.139653023,4.508131706,5.353246263
-0.139653041,4.508132294,5.353245768
-0.139653060,4.508132882,5.353245272
-0.139653078,4.508133472,5.353244775
-0.139653096,4.508134061,5.353244279
-0.139653114,4.508134650,5.353243781
-0.139653133,4.508135238,5.353243286
-0.139653151,4.508135826,5.353242790
-0.139653169,4.508136415,5.353242294
-0.139653187,4.508137002,5.353241797
-0.139653206,4.508137592,5.353241301
-0.139653224,4.508138179,5.353240805
-0.139653242,4.508138770,5.353240309
-0.139653260,4.508139359,5.353239811
-0.139653278,4.508139947,5.353239317
-0.139653297,4.508140535,5.353238821
-0.139653315,4.508141124,5.353238324
-0.139653333,4.508141713,5.353237828
-0.139653351,4.508142303,5.353237331
-0.139653370,4.508142889,5.353236835
-0.139653388,4.508143481,5.353236339
-0.139653406,4.508144068,5.353235843
-0.139653424,4.508144656,5.353235346
-0.139653443,4.508145246,5.353234850
-0.139653461,4.508145834,5.353234354
-0.139653479,4.508146423,5.353233857
-0.139653497,4.508147012,5.353233361
-0.139653516,4.508147600,5.353232864
-0.139653534,4.508148190,5.353232369
-0.139653552,4.508148778,5.353231873
-0.139653570,4.508149367,5.353231377
-0.139653588,4.508149954,5.353230880
-0.139653607,4.508150544,5.353230384
-0.139653625,4.508151133,5.353229887
-0.139653643,4.508151721,5.353229390
-0.139653661,4.508152311,5.353228895
-0.139653680,4.508152897,5.353228398
-0.139653698,4.508153488,5.353227903
-0.139653716,4.508154077,5.353227406
-0.139653734,4.508154665,5.353226911
-0.139653753,4.508155254,5.353226414
-0.139653771,4.508155842,5.353225918
-0.139653789,4.508156430,5.353225421
-0.139653807,4.508157020,5.353224926
-0.139653826,4.508157607,5.353224428
-0.139653844,4.508158198,5.353223933
-0.139653862,4.508158787,5.353223437
-0.139653880,4.508159376,5.353222940
-0.139653898,4.508159963,5.353222444
-0.139653917,4.508160552,5.353221948
-0.139653935,4.508161142,5.353221451
-0.139653953,4.508161729,5.353220955
-0.139653971,4.508162317,5.353220459
-0.139653990,4.508162908,5.353219963
-0.139654008,4.508163496,5.353219465
-0.139654026,4.508164085,5.353218971
