v,v,v
-0.139664384,4.508498461,5.352937090
-0.139664403,4.508499051,5.352936593
-0.139664421,4.508499639,5.352936096
-0.139664439,4.508500228,5.352935601
-0.139664457,4.508500816,5.352935103
-0.139664476,4.508501404,5.352934608
-0.139664494,4.508501993,5.352934112
-0.139664512,4.508502582,5.352933614
-0.139664530,4.508503171,5.352933120
-0.139664549,4.508503759,5.352932622
-0.139664567,4.508504348,5.352932127
-0.139664585,4.508504936,5.352931630
-0.139664603,4.508505525,5.352931134
-0.139664622,4.508506115,5.352930638
-0.139664640,4.508506703,5.352930142
-0.139664658,4.508507291,5.352929645
-0.139664676,4.508507880,5.352929148
-0.139664694,4.508508468,5.352928652
-0.139664713,4.508509058,5.352928155
-0.139664731,4.508509646,5.352927661
-0.139664749,4.508510235,5.352927163
-0.139664768,4.508510824,5.352926668
-0.139664786,4.508511412,5.352926171
-0.139664804,4.508512001,5.352925674
-0.139664822,4.508512590,5.352925179
-0.139664840,4.508513179,5.352924683
-0.139664859,4.508513766,5.352924186
-0.139664877,4.508514356,5.352923689
-0.139664895,4.508514945,5.352923193
-0.139664913,4.508515533,5.352922696
-0.139664932,4.508516122,5.352922201
-0.139664950,4.508516710,5.352921704
-0.139664968,4.508517299,5.352921209
-0.139664986,4.508517885,5.352920712
-0.139665005,4.508518476,5.352920215
-0.139665023,4.508519064,5.352919719
-0.139665041,4.508519652,5.352919223
-0.139665059,4.508520243,5.352918726
-0.139665077,4.508520831,5.352918230
-0.139665096,4.508521418,5.352917735
-0.139665114,4.508522009,5.352917239
-0.139665132,4.508522597,5.352916742
-0.139665150,4.508523186,5.352916246
-0.139665169,4.508523774,5.352915749
-0.139665187,4.508524362,5.352915253
-0.139665205,4.508524952,5.352914757
-0.139665223,4.508525539,5.352914260
-0.139665242,4.508526131,5.352913763
-0.139665260,4.508526719,5.352913268
-0.139665278,4.508527306,5.352912771
-0.139665296,4.508527895,5.352912276
-0.139665315,4.508528482,5.352911779
-0.139665333,4.508529074,5.352911283
-0.139665351,4.508529661,5.352910785
-0.139665369,4.508530249,5.352910289
-0.139665387,4.508530837,5.352909793
-0.139665406,4.508531426,5.352909297
-0.139665424,4.508532016,5.352908800
-0.139665442,4.508532604,5.352908305
-0.139665460,4.508533194,5.352907809
-0.139665479,4.508533782,5.352907313
-0.139665497,4.508534371,5.352906816
-0.139665515,4.508534958,5.352906319
-0.139665533,4.508535547,5.352905822
-0.139665552,4.508536137,5.352905327
-0.139665570,4.508536725,5.352904831
-0.139665588,4.508537314,5.352904334
-0.139665606,4.508537902,5.352903839
-0.139665625,4.508538491,5.352903342
-0.139665643,4.508539079,5.352902846
-0.139665661,4.508539668,5.352902349
-0.139665679,4.508540258,5.352901853
-0.139665698,4.508540846,5.352901358
-0.139665716,4.508541435,5.352900860
-0.139665734,4.508542023,5.352900363
-0.139665752,4.508542612,5.352899868
-0.139665770,4.508543200,5.352899372
-0.139665789,4.508543788,5.352898874
-0.139665807,4.508544378,5.352898379
-0.139665825,4.508544967,5.352897883
-0.139665843,4.508545555,5.352897385
-0.139665862,4.508546143,5.352896890
-0.139665880,4.508546732,5.352896393
-0.139665898,4.508547321,5.352895898
-0.139665916,4.508547910,5.352895401
-0.139665935,4.508548499,5.352894904
-0.139665953,4.508549088,5.352894409
-0.139665971,4.508549674,5.352893912
-0.139665989,4.508550265,5.352893415
-0.139666008,4.508550853,5.352892920
-0.139666026,4.508551442,5.352892423
-0.139666044,4.508552031,5.352891927
-0.139666062,4.508552617,5.352891430
-0.139666080,4.508553208,5.352890935
-0.139666099,4.508553796,5.352890438
-0.139666117,4.508554385,5.352889943
-0.139666135,4.508554976,5.352889447
-0.139666153,4.508555562,5.352888948
-0.139666172,4.508556153,5.352888453
-0.139666190,4.508556738,5.352887956
-0.139666208,4.508557329,5.352887460
-0.139666226,4.508557917,5.352886964
-0.139666245,4.508558505,5.352886468
-0.139666263,4.508559095,5.352885971
-0.139666281,4.508559683,5.352885475
-0.139666299,4.508560271,5.352884979
-0.139666318,4.508560861,5.352884483
-0.139666336,4.508561450,5.352883986
-0.139666354,4.508562039,5.352883490
-0.139666372,4.508562627,5.352882995
-0.139666390,4.508563215,5.352882497
-0.139666409,4.508563804,5.352882001
-0.139666427,4.508564393,5.352881504
-0.139666445,4.508564982,5.352881009
-0.139666463,4.508565571,5.352880512
-0.139666482,4.508566160,5.352880016
-0.139666500,4.508566746,5.352879520
-0.139666518,4.508567336,5.352879023
-0.139666536,4.508567925,5.352878527
-0.139666555,4.508568514,5.352878031
-0.139666573,4.508569103,5.352877534
-0.139666591,4.508569690,5.352877038
-0.139666609,4.508570280,5.352876540
-0.139666628,4.508570869,5.352876046
-0.139666646,4.508571457,5.352875549
-0.139666664,4.508572048,5.352875052
-0.139666682,4.508572633,5.352874556
-0.139666700,4.508573222,5.352874060
-0.139666719,4.508573811,5.352873564
-0.139666737,4.508574401,5.352873068
-0.139666755,4.508574989,5.352872572
-0.139666773,4.508575577,5.352872076
-0.139666792,4.508576167,5.352871579
-0.139666810,4.508576755,5.352871082
-0.139666828,4.508577344,5.352870586
-0.139666846,4.508577933,5.352870090
-0.139666865,4.508578521,5.352869594
-0.139666883,4.508579111,5.352869097
-0.139666901,4.508579697,5.352868602
-0.139666919,4.508580287,5.352868105
-0.139666938,4.508580876,5.352867609
-0.139666956,4.508581464,5.352867112
-0.139666974,4.508582053,5.352866616
-0.139666992,4.508582641,5.352866120
-0.139667011,4.508583231,5.352865623
-0.139667029,4.508583818,5.352865127
-0.139667047,4.508584409,5.352864630
-0.139667065,4.508584997,5.352864135
-0.139667084,4.508585586,5.352863640
-0.139667102,4.508586174,5.352863141
-0.139667120,4.508586762,5.352862645
-0.139667138,4.508587351,5.352862150
-0.139667156,4.508587940,5.352861653
-0.139667175,4.508588530,5.352861157
-0.139667193,4.508589117,5.352860660
-0.139667211,4.508589705,5.352860163
-0.139667229,4.508590294,5.352859668
-0.139667248,4.508590883,5.352859172
-0.139667266,4.508591470,5.352858676
-0.139667284,4.508592061,5.352858179
-0.139667302,4.508592649,5.352857681
-0.139667321,4.508593238,5.352857186
-0.139667339,4.508593827,5.352856691
-0.139667357,4.508594415,5.352856195
-0.139667375,4.508595003,5.352855697
-0.139667393,4.508595591,5.352855202
-0.139667412,4.508596181,5.352854705
-0.139667430,4.508596769,5.352854208
-0.139667448,4.508597359,5.352853713
-0.139667466,4.508597946,5.352853215
-0.139667485,4.508598535,5.352852720
-0.139667503,4.508599124,5.352852223
-0.139667521,4.508599713,5.352851727
-0.139667539,4.508600302,5.352851231
-0.139667558,4.508600891,5.352850734
-0.139667576,4.508601479,5.352850238
-0.139667594,4.508602066,5.352849741
-0.139667612,4.508602657,5.352849246
-0.139667630,4.508603245,5.352848749
-0.139667649,4.508603833,5.352848252
-0.139667667,4.508604423,5.352847757
-0.139667685,4.508605010,5.352847259
-0.139667703,4.508605598,5.352846764
-0.139667722,4.508606189,5.352846268
-0.139667740,4.508606777,5.352845771
-0.139667758,4.508607366,5.352845275
-0.139667776,4.508607954,5.352844778
-0.139667795,4.508608542,5.352844282
-0.139667813,4.508609133,5.352843786
-0.139667831,4.508609721,5.352843290
-0.139667849,4.508610310,5.352842794
-0.139667868,4.508610898,5.352842297
-0.139667886,4.508611484,5.352841801
-0.139667904,4.508612074,5.352841304
-0.139667922,4.508612663,5.352840809
-0.139667941,4.508613253,5.352840311
-0.139667959,4.508613841,5.352839816
-0.139667977,4.508614428,5.352839319
-0.139667995,4.508615018,5.352838823
-0.139668013,4.508615608,5.352838328
-0.139668032,4.508616196,5.352837831
-0.139668050,4.508616785,5.352837333
-0.139668068,4.508617373,5.352836838
-0.139668086,4.508617962,5.352836342
-0.139668105,4.508618550,5.352835847
-0.139668123,4.508619138,5.352835349
-0.139668141,4.508619728,5.352834853
-0.139668159,4.508620316,5.352834357
-0.139668178,4.508620904,5.352833861
-0.139668196,4.508621493,5.352833364
-0.139668214,4.508622083,5.352832868
-0.139668232,4.508622670,5.352832371
-0.139668251,4.508623260,5.352831875
-0.139668269,4.508623849,5.352831378
-0.139668287,4.508624435,5.352830883
-0.139668305,4.508625026,5.352830386
-0.139668323,4.508625614,5.352829890
-0.139668342,4.508626202,5.352829393
-0.139668360,4.508626792,5.352828897
-0.139668378,4.508627380,5.352828401
-0.139668396,4.508627969,5.352827904
-0.139668415,4.508628557,5.352827408
-0.139668433,4.508629146,5.352826912
-0.139668451,4.508629736,5.352826416
-0.139668469,4.508630322,5.352825919
-0.139668488,4.508630912,5.352825424
-0.139668506,4.508631501,5.352824926
-0.139668524,4.508632090,5.352824430
-0.139668542,4.508632678,5.352823934
-0.139668561,4.508633266,5.352823437
-0.139668579,4.508633857,5.352822941
-0.139668597,4.508634444,5.352822446
-0.139668615,4.508635033,5.352821949
-0.139668633,4.508635622,5.352821452
-0.139668652,4.508636210,5.352820956
-0.139668670,4.508636800,5.352820460
-0.139668688,4.508637388,5.352819964
-0.139668706,4.508637975,5.352819467
-0.139668725,4.508638564,5.352818971
-0.139668743,4.508639154,5.352818475
-0.139668761,4.508639743,5.352817979
-0.139668779,4.508640330,5.352817482
-0.139668798,4.508640918,5.352816986
-0.139668816,4.508641509,5.352816491
-0.139668834,4.508642097,5.352815994
-0.139668852,4.508642685,5.352815496
-0.139668871,4.508643274,5.352815001
-0.139668889,4.508643863,5.352814504
-0.139668907,4.508644450,5.352814008
-0.139668925,4.508645039,5.352813512
-0.139668944,4.508645630,5.352813016
-0.139668962,4.508646217,5.352812519
-0.139668980,4.508646806,5.352812022
-0.139668998,4.508647394,5.352811527
-0.139669016,4.508647985,5.352811032
-0.139669035,4.508648572,5.352810534
-0.139669053,4.508649161,5.352810037
-0.139669071,4.508649751,5.352809540
-0.139669089,4.508650338,5.352809045
-0.139669108,4.508650926,5.352808548
-0.139669126,4.508651515,5.352808053
-0.139669144,4.508652104,5.352807555
-0.139669162,4.508652692,5.352807060
-0.139669181,4.508653282,5.352806563
-0.139669199,4.508653870,5.352806068
